zona_climatica;periodo;EPgl_nren;EPgl_ren;CO2
A;kE8E9;130.41;10.44;27.07
A;kE10E11;123.31;12.82;25.86
A;kE12E13;119.54;21.1;25.14
A;kE14E15;120.08;38.66;26.13
A;kE16;81.22;39.15;17.52
A;k2015;87.04;42.23;19.44
B;kE8E9;174.15;18.05;35.61
B;kE10E11;146.51;16.12;30.07
B;kE12E13;143.38;17.19;29.44
B;kE14E15;133.54;18.4;27.44
B;kE16;120.6;19.31;24.93
B;k2015;81.22;28.13;16.94
C;kE8E9;203.44;17.69;40.79
C;kE10E11;174.25;14.27;35.0
C;kE12E13;166.42;15.06;33.56
C;kE14E15;147.52;14.42;29.74
C;kE16;119.51;16.88;24.39
C;k2015;63.67;31.78;13.29
D;kE8E9;202.57;15.52;40.29
D;kE10E11;178.11;12.12;35.41
D;kE12E13;171.59;13.16;34.16
D;kE14E15;155.12;12.98;30.94
D;kE16;119.81;15.12;24.14
D;k2015;65.61;34.18;13.5
E;kE8E9;244.96;19.83;48.66
E;kE10E11;218.52;15.03;43.95
E;kE12E13;198.73;15.49;39.86
E;kE14E15;164.44;11.66;32.83
E;kE16;118.45;18.57;24.09
E;k2015;54.82;46.4;11.95
F;kE8E9;298.93;40.81;61.06
F;kE10E11;262.97;30.49;55.8
F;kE12E13;238.39;29.12;52.05
F;kE14E15;193.9;25.3;41.73
F;kE16;131.38;33.78;28.44
F;k2015;79.65;53.93;17.51
