zona_climatica;suris_range;volris_range;EPgl_nren;EPgl_ren;CO2
A;<50;<50;0.0;0.0;0.0
A;<50;50-100;172.15;63.73;37.8
A;<50;100-200;140.39;36.6;29.88
A;<50;200-500;152.94;23.57;32.49
A;<50;500-1000;125.47;9.42;26.5
A;<50;1000-5000;0.0;0.0;0.0
A;<50;5000-10000;0.0;0.0;0.0
A;<50;>10000;0.0;0.0;0.0
A;50-100;<50;0.0;0.0;0.0
A;50-100;50-100;0.0;0.0;0.0
A;50-100;100-200;115.56;19.7;24.63
A;50-100;200-500;117.04;16.86;24.65
A;50-100;500-1000;112.86;35.14;23.79
A;50-100;1000-5000;211.03;4.8;42.92
A;50-100;5000-10000;0.0;0.0;0.0
A;50-100;>10000;0.0;0.0;0.0
A;100-200;<50;0.0;0.0;0.0
A;100-200;50-100;0.0;0.0;0.0
A;100-200;100-200;0.0;0.0;0.0
A;100-200;200-500;89.83;14.99;19.13
A;100-200;500-1000;116.9;20.13;24.14
A;100-200;1000-5000;138.02;6.32;28.38
A;100-200;5000-10000;0.0;0.0;0.0
A;100-200;>10000;0.0;0.0;0.0
A;200-500;<50;0.0;0.0;0.0
A;200-500;50-100;0.0;0.0;0.0
A;200-500;100-200;0.0;0.0;0.0
A;200-500;200-500;37.88;5.43;8.38
A;200-500;500-1000;85.28;18.44;18.07
A;200-500;1000-5000;81.66;13.91;16.86
A;200-500;5000-10000;0.0;0.0;0.0
A;200-500;>10000;0.0;0.0;0.0
A;500-1000;<50;0.0;0.0;0.0
A;500-1000;50-100;0.0;0.0;0.0
A;500-1000;100-200;0.0;0.0;0.0
A;500-1000;200-500;0.0;0.0;0.0
A;500-1000;500-1000;0.0;0.0;0.0
A;500-1000;1000-5000;0.0;0.0;0.0
A;500-1000;5000-10000;0.0;0.0;0.0
A;500-1000;>10000;0.0;0.0;0.0
A;1000-5000;<50;0.0;0.0;0.0
A;1000-5000;50-100;0.0;0.0;0.0
A;1000-5000;100-200;0.0;0.0;0.0
A;1000-5000;200-500;0.0;0.0;0.0
A;1000-5000;500-1000;0.0;0.0;0.0
A;1000-5000;1000-5000;0.0;0.0;0.0
A;1000-5000;5000-10000;0.0;0.0;0.0
A;1000-5000;>10000;0.0;0.0;0.0
A;>5000;<50;0.0;0.0;0.0
A;>5000;50-100;0.0;0.0;0.0
A;>5000;100-200;0.0;0.0;0.0
A;>5000;200-500;0.0;0.0;0.0
A;>5000;500-1000;0.0;0.0;0.0
A;>5000;1000-5000;0.0;0.0;0.0
A;>5000;5000-10000;0.0;0.0;0.0
A;>5000;>10000;0.0;0.0;0.0
B;<50;<50;0.0;0.0;0.0
B;<50;50-100;208.28;20.59;43.07
B;<50;100-200;174.33;20.42;35.94
B;<50;200-500;194.47;23.99;39.61
B;<50;500-1000;322.78;21.86;65.89
B;<50;1000-5000;280.39;28.25;59.78
B;<50;5000-10000;0.0;0.0;0.0
B;<50;>10000;0.0;0.0;0.0
B;50-100;<50;0.0;0.0;0.0
B;50-100;50-100;145.5;15.51;30.24
B;50-100;100-200;145.86;18.06;30.67
B;50-100;200-500;146.57;17.36;30.08
B;50-100;500-1000;197.63;22.24;40.54
B;50-100;1000-5000;323.29;14.5;66.43
B;50-100;5000-10000;0.0;0.0;0.0
B;50-100;>10000;0.0;0.0;0.0
B;100-200;<50;0.0;0.0;0.0
B;100-200;50-100;116.45;14.38;24.45
B;100-200;100-200;112.36;11.3;23.58
B;100-200;200-500;120.09;14.35;24.71
B;100-200;500-1000;129.41;17.66;26.3
B;100-200;1000-5000;187.05;21.37;38.66
B;100-200;5000-10000;0.0;0.0;0.0
B;100-200;>10000;0.0;0.0;0.0
B;200-500;<50;0.0;0.0;0.0
B;200-500;50-100;55.29;0.59;11.15
B;200-500;100-200;79.23;7.63;17.27
B;200-500;200-500;100.98;9.2;20.96
B;200-500;500-1000;108.93;18.36;22.22
B;200-500;1000-5000;115.18;20.05;23.23
B;200-500;5000-10000;0.0;0.0;0.0
B;200-500;>10000;0.0;0.0;0.0
B;500-1000;<50;0.0;0.0;0.0
B;500-1000;50-100;0.0;0.0;0.0
B;500-1000;100-200;0.0;0.0;0.0
B;500-1000;200-500;39.18;5.05;8.24
B;500-1000;500-1000;67.37;0.4;13.53
B;500-1000;1000-5000;81.48;13.89;16.26
B;500-1000;5000-10000;0.0;0.0;0.0
B;500-1000;>10000;0.0;0.0;0.0
B;1000-5000;<50;0.0;0.0;0.0
B;1000-5000;50-100;0.0;0.0;0.0
B;1000-5000;100-200;0.0;0.0;0.0
B;1000-5000;200-500;0.0;0.0;0.0
B;1000-5000;500-1000;0.0;0.0;0.0
B;1000-5000;1000-5000;0.0;0.0;0.0
B;1000-5000;5000-10000;0.0;0.0;0.0
B;1000-5000;>10000;0.0;0.0;0.0
B;>5000;<50;0.0;0.0;0.0
B;>5000;50-100;0.0;0.0;0.0
B;>5000;100-200;0.0;0.0;0.0
B;>5000;200-500;0.0;0.0;0.0
B;>5000;500-1000;0.0;0.0;0.0
B;>5000;1000-5000;0.0;0.0;0.0
B;>5000;5000-10000;0.0;0.0;0.0
B;>5000;>10000;0.0;0.0;0.0
C;<50;<50;0.0;0.0;0.0
C;<50;50-100;226.7;19.77;45.64
C;<50;100-200;180.99;19.69;36.65
C;<50;200-500;219.96;20.58;44.05
C;<50;500-1000;321.69;15.4;65.4
C;<50;1000-5000;173.44;36.62;36.68
C;<50;5000-10000;0.0;0.0;0.0
C;<50;>10000;0.0;0.0;0.0
C;50-100;<50;0.0;0.0;0.0
C;50-100;50-100;176.01;13.36;35.86
C;50-100;100-200;153.96;14.9;31.3
C;50-100;200-500;160.32;15.01;32.23
C;50-100;500-1000;230.6;18.98;46.53
C;50-100;1000-5000;302.11;16.66;61.58
C;50-100;5000-10000;0.0;0.0;0.0
C;50-100;>10000;0.0;0.0;0.0
C;100-200;<50;0.0;0.0;0.0
C;100-200;50-100;161.28;16.14;32.41
C;100-200;100-200;148.25;11.69;30.18
C;100-200;200-500;138.97;12.78;27.98
C;100-200;500-1000;155.22;18.35;31.21
C;100-200;1000-5000;210.85;24.8;43.26
C;100-200;5000-10000;0.0;0.0;0.0
C;100-200;>10000;0.0;0.0;0.0
C;200-500;<50;0.0;0.0;0.0
C;200-500;50-100;216.49;19.81;45.58
C;200-500;100-200;137.67;14.42;29.21
C;200-500;200-500;115.09;11.53;23.73
C;200-500;500-1000;127.71;18.88;25.83
C;200-500;1000-5000;134.43;20.99;27.05
C;200-500;5000-10000;0.0;0.0;0.0
C;200-500;>10000;0.0;0.0;0.0
C;500-1000;<50;0.0;0.0;0.0
C;500-1000;50-100;0.0;0.0;0.0
C;500-1000;100-200;0.0;0.0;0.0
C;500-1000;200-500;57.9;2.86;11.86
C;500-1000;500-1000;41.55;7.92;8.69
C;500-1000;1000-5000;89.99;11.76;18.33
C;500-1000;5000-10000;0.0;0.0;0.0
C;500-1000;>10000;0.0;0.0;0.0
C;1000-5000;<50;0.0;0.0;0.0
C;1000-5000;50-100;0.0;0.0;0.0
C;1000-5000;100-200;0.0;0.0;0.0
C;1000-5000;200-500;0.0;0.0;0.0
C;1000-5000;500-1000;0.0;0.0;0.0
C;1000-5000;1000-5000;0.0;0.0;0.0
C;1000-5000;5000-10000;0.0;0.0;0.0
C;1000-5000;>10000;0.0;0.0;0.0
C;>5000;<50;0.0;0.0;0.0
C;>5000;50-100;0.0;0.0;0.0
C;>5000;100-200;0.0;0.0;0.0
C;>5000;200-500;0.0;0.0;0.0
C;>5000;500-1000;0.0;0.0;0.0
C;>5000;1000-5000;0.0;0.0;0.0
C;>5000;5000-10000;0.0;0.0;0.0
C;>5000;>10000;0.0;0.0;0.0
D;<50;<50;0.0;0.0;0.0
D;<50;50-100;241.24;23.71;48.49
D;<50;100-200;187.6;17.8;37.5
D;<50;200-500;223.37;19.09;44.11
D;<50;500-1000;312.43;14.76;62.87
D;<50;1000-5000;263.34;7.15;53.16
D;<50;5000-10000;0.0;0.0;0.0
D;<50;>10000;0.0;0.0;0.0
D;50-100;<50;0.0;0.0;0.0
D;50-100;50-100;177.12;9.24;35.62
D;50-100;100-200;163.46;12.13;33.01
D;50-100;200-500;166.74;12.21;33.12
D;50-100;500-1000;253.76;18.69;50.74
D;50-100;1000-5000;334.89;15.04;67.77
D;50-100;5000-10000;0.0;0.0;0.0
D;50-100;>10000;0.0;0.0;0.0
D;100-200;<50;0.0;0.0;0.0
D;100-200;50-100;182.85;8.83;37.01
D;100-200;100-200;159.76;9.68;32.29
D;100-200;200-500;154.24;12.44;30.75
D;100-200;500-1000;166.15;19.95;33.11
D;100-200;1000-5000;253.23;20.77;51.31
D;100-200;5000-10000;0.0;0.0;0.0
D;100-200;>10000;0.0;0.0;0.0
D;200-500;<50;0.0;0.0;0.0
D;200-500;50-100;116.48;14.84;24.82
D;200-500;100-200;125.82;9.57;25.28
D;200-500;200-500;142.9;13.09;29.2
D;200-500;500-1000;147.07;22.38;29.47
D;200-500;1000-5000;155.46;23.36;31.22
D;200-500;5000-10000;0.0;0.0;0.0
D;200-500;>10000;0.0;0.0;0.0
D;500-1000;<50;0.0;0.0;0.0
D;500-1000;50-100;0.0;0.0;0.0
D;500-1000;100-200;77.11;3.64;15.91
D;500-1000;200-500;112.17;0.78;22.57
D;500-1000;500-1000;114.16;4.26;23.8
D;500-1000;1000-5000;125.76;11.33;25.14
D;500-1000;5000-10000;0.0;0.0;0.0
D;500-1000;>10000;0.0;0.0;0.0
D;1000-5000;<50;0.0;0.0;0.0
D;1000-5000;50-100;0.0;0.0;0.0
D;1000-5000;100-200;0.0;0.0;0.0
D;1000-5000;200-500;0.0;0.0;0.0
D;1000-5000;500-1000;0.0;0.0;0.0
D;1000-5000;1000-5000;0.0;0.0;0.0
D;1000-5000;5000-10000;0.0;0.0;0.0
D;1000-5000;>10000;0.0;0.0;0.0
D;>5000;<50;0.0;0.0;0.0
D;>5000;50-100;0.0;0.0;0.0
D;>5000;100-200;0.0;0.0;0.0
D;>5000;200-500;0.0;0.0;0.0
D;>5000;500-1000;0.0;0.0;0.0
D;>5000;1000-5000;0.0;0.0;0.0
D;>5000;5000-10000;0.0;0.0;0.0
D;>5000;>10000;0.0;0.0;0.0
E;<50;<50;0.0;0.0;0.0
E;<50;50-100;268.81;27.55;54.11
E;<50;100-200;206.53;18.18;41.57
E;<50;200-500;227.01;22.13;45.27
E;<50;500-1000;276.04;20.72;54.81
E;<50;1000-5000;209.37;18.3;43.01
E;<50;5000-10000;0.0;0.0;0.0
E;<50;>10000;0.0;0.0;0.0
E;50-100;<50;0.0;0.0;0.0
E;50-100;50-100;212.24;12.54;42.52
E;50-100;100-200;186.96;12.96;37.79
E;50-100;200-500;191.51;14.76;38.42
E;50-100;500-1000;208.48;32.25;41.48
E;50-100;1000-5000;247.93;18.04;49.63
E;50-100;5000-10000;0.0;0.0;0.0
E;50-100;>10000;0.0;0.0;0.0
E;100-200;<50;0.0;0.0;0.0
E;100-200;50-100;190.35;8.62;38.4
E;100-200;100-200;190.04;15.13;38.56
E;100-200;200-500;189.31;17.65;38.03
E;100-200;500-1000;184.38;28.16;37.0
E;100-200;1000-5000;215.66;34.79;43.56
E;100-200;5000-10000;0.0;0.0;0.0
E;100-200;>10000;0.0;0.0;0.0
E;200-500;<50;0.0;0.0;0.0
E;200-500;50-100;169.45;16.5;32.18
E;200-500;100-200;173.53;18.94;37.4
E;200-500;200-500;167.38;16.36;34.12
E;200-500;500-1000;178.67;25.13;35.89
E;200-500;1000-5000;172.1;29.53;34.71
E;200-500;5000-10000;0.0;0.0;0.0
E;200-500;>10000;0.0;0.0;0.0
E;500-1000;<50;0.0;0.0;0.0
E;500-1000;50-100;0.0;0.0;0.0
E;500-1000;100-200;190.46;2.05;37.59
E;500-1000;200-500;138.41;9.27;28.3
E;500-1000;500-1000;184.98;5.89;38.1
E;500-1000;1000-5000;170.33;16.34;34.36
E;500-1000;5000-10000;0.0;0.0;0.0
