zona_climatica;suris_range;volris_range;supdi_range;EPgl_nren;EPgl_ren;CO2
A;<50;<50;<50;0.0;0.0;0.0
A;<50;<50;50-100;0.0;0.0;0.0
A;<50;<50;100-200;0.0;0.0;0.0
A;<50;<50;200-500;0.0;0.0;0.0
A;<50;<50;500-1000;0.0;0.0;0.0
A;<50;<50;1000-5000;0.0;0.0;0.0
A;<50;<50;>5000;0.0;0.0;0.0
A;<50;50-100;<50;133.96;121.53;30.14
A;<50;50-100;50-100;163.99;68.82;37.0
A;<50;50-100;100-200;205.09;27.76;42.8
A;<50;50-100;200-500;0.0;0.0;0.0
A;<50;50-100;500-1000;0.0;0.0;0.0
A;<50;50-100;1000-5000;0.0;0.0;0.0
A;<50;50-100;>5000;0.0;0.0;0.0
A;<50;100-200;<50;100.63;14.3;21.74
A;<50;100-200;50-100;115.5;35.2;24.08
A;<50;100-200;100-200;154.78;37.57;33.38
A;<50;100-200;200-500;153.16;45.82;31.6
A;<50;100-200;500-1000;0.0;0.0;0.0
A;<50;100-200;1000-5000;0.0;0.0;0.0
A;<50;100-200;>5000;0.0;0.0;0.0
A;<50;200-500;<50;74.96;7.63;16.13
A;<50;200-500;50-100;79.68;13.24;17.02
A;<50;200-500;100-200;141.76;30.67;31.17
A;<50;200-500;200-500;196.66;23.76;40.94
A;<50;200-500;500-1000;0.0;0.0;0.0
A;<50;200-500;1000-5000;0.0;0.0;0.0
A;<50;200-500;>5000;0.0;0.0;0.0
A;<50;500-1000;<50;0.0;0.0;0.0
A;<50;500-1000;50-100;125.47;9.42;26.5
A;<50;500-1000;100-200;0.0;0.0;0.0
A;<50;500-1000;200-500;0.0;0.0;0.0
A;<50;500-1000;500-1000;0.0;0.0;0.0
A;<50;500-1000;1000-5000;0.0;0.0;0.0
A;<50;500-1000;>5000;0.0;0.0;0.0
A;<50;1000-5000;<50;0.0;0.0;0.0
A;<50;1000-5000;50-100;0.0;0.0;0.0
A;<50;1000-5000;100-200;0.0;0.0;0.0
A;<50;1000-5000;200-500;0.0;0.0;0.0
A;<50;1000-5000;500-1000;0.0;0.0;0.0
A;<50;1000-5000;1000-5000;0.0;0.0;0.0
A;<50;1000-5000;>5000;0.0;0.0;0.0
A;<50;5000-10000;<50;0.0;0.0;0.0
A;<50;5000-10000;50-100;0.0;0.0;0.0
A;<50;5000-10000;100-200;0.0;0.0;0.0
A;<50;5000-10000;200-500;0.0;0.0;0.0
A;<50;5000-10000;500-1000;0.0;0.0;0.0
A;<50;5000-10000;1000-5000;0.0;0.0;0.0
A;<50;5000-10000;>5000;0.0;0.0;0.0
A;<50;>10000;<50;0.0;0.0;0.0
A;<50;>10000;50-100;0.0;0.0;0.0
A;<50;>10000;100-200;0.0;0.0;0.0
A;<50;>10000;200-500;0.0;0.0;0.0
A;<50;>10000;500-1000;0.0;0.0;0.0
A;<50;>10000;1000-5000;0.0;0.0;0.0
A;<50;>10000;>5000;0.0;0.0;0.0
A;50-100;<50;<50;0.0;0.0;0.0
A;50-100;<50;50-100;0.0;0.0;0.0
