CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;SEZ2011;NSEZ;ACE;CODLOC;CODASC;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
17;Basilicata;76;Potenza;1;Abriola;76001;760010000001;1;0;10001;;371;180;191;155;172;2;37;5;83;88;1;6;2;16;18;5;9;19;25;30;30;25;24;22;30;18;25;30;45;6;9;3;9;10;12;15;14;15;8;10;15;10;15;14;15;352;22;74;99;88;47;22;173;9;38;53;48;18;7;138;112;19;84;72;8;194;78;36;23;13;20;14;82;48;115;51;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;162;114;1;114;0;11634;23;115;26;164;370;61;44;25;24;10;0;0;224;218;200;18;123;9;68;15;5;31;32;20;43;43;8;3;45;94;57;4;145;26;26;2;1;0;302;3;47;127;23
17;Basilicata;76;Potenza;1;Abriola;76001;760010000002;2;0;10001;;215;94;121;87;97;1;29;1;37;51;0;5;1;7;9;7;7;10;6;11;16;18;16;13;8;19;10;15;43;3;3;3;3;4;2;5;7;10;8;3;6;11;3;9;14;207;14;38;60;47;31;17;91;3;18;33;20;11;6;75;62;6;46;38;4;117;39;14;12;3;16;5;43;38;75;31;3;2;2;1;0;1;1;0;3;0;0;0;0;0;3;108;164;0;164;0;8401;4;82;22;108;215;50;28;14;13;3;0;0;185;181;171;10;141;0;30;16;16;46;45;25;19;4;0;0;18;63;74;16;86;60;22;3;0;0;291;3;71;95;2
17;Basilicata;76;Potenza;1;Abriola;76001;760010000003;3;0;10001;;269;126;143;105;128;0;36;0;53;67;0;6;0;6;10;7;9;12;13;17;12;16;24;21;23;20;16;17;46;1;4;4;5;6;9;8;6;8;12;9;14;7;11;6;16;263;23;66;61;53;45;15;125;9;41;32;24;14;5;98;78;8;64;48;6;148;53;25;15;5;16;10;49;40;92;38;2;1;1;1;0;1;0;0;2;0;0;0;0;0;2;124;107;0;107;0;9230;2;105;17;124;269;46;36;23;13;6;0;0;185;179;165;14;162;0;3;20;59;74;8;1;2;0;0;1;31;90;43;1;110;49;6;0;0;0;229;11;55;97;2
17;Basilicata;76;Potenza;1;Abriola;76001;760010000004;4;0;10001;;355;169;186;163;150;2;38;2;84;74;1;8;2;6;15;21;16;28;22;18;24;27;34;27;18;20;13;17;49;4;7;9;8;16;8;10;11;13;11;15;13;9;5;7;23;345;13;88;120;72;36;16;164;2;50;57;34;15;6;126;100;15;76;68;7;187;73;38;34;17;26;18;74;67;89;37;3;0;1;2;0;0;0;0;3;0;0;0;0;0;3;144;130;0;130;0;11059;13;97;34;144;355;44;41;22;23;13;1;6;193;184;182;2;164;15;3;5;49;59;34;6;18;10;1;0;73;88;15;6;105;59;16;2;0;0;285;14;54;110;4
17;Basilicata;76;Potenza;1;Abriola;76001;760010000010;10;0;20001;;148;74;74;62;80;0;5;1;34;40;0;0;0;6;8;4;8;13;9;11;10;13;11;8;13;8;8;5;13;3;4;2;5;7;3;4;4;6;8;4;7;4;4;2;7;141;9;24;50;39;10;9;71;4;14;24;19;5;5;64;55;7;40;36;4;66;25;16;9;4;11;6;13;61;30;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;4210;1;23;27;51;148;8;15;9;13;5;1;6;58;49;28;21;1;7;20;4;0;8;10;0;4;0;2;0;4;21;1;2;19;5;1;3;0;0;51;0;13;15;0
17;Basilicata;76;Potenza;1;Abriola;76001;760010000011;11;0;20002;;81;40;41;37;39;1;4;0;21;19;0;0;0;3;6;3;6;5;6;6;11;5;5;8;3;5;2;4;3;2;2;2;4;1;4;3;5;2;2;6;1;3;1;1;1;77;2;25;22;17;9;2;37;2;10;13;9;2;1;30;24;5;20;17;3;39;14;13;8;3;8;7;7;31;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;9;0;9;0;2838;1;22;6;29;81;4;11;3;9;2;0;0;37;34;26;8;21;0;5;3;0;18;2;1;1;1;0;0;6;18;2;0;17;6;3;0;0;0;38;6;17;3;0
17;Basilicata;76;Potenza;1;Abriola;76001;760010000012;12;0;20001;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;Basilicata;76;Potenza;1;Abriola;76001;760010000018;18;0;40001;;15;10;5;5;6;1;3;0;3;3;1;3;0;0;0;0;1;1;2;0;0;0;1;3;3;0;0;0;4;0;0;0;0;1;2;0;0;0;0;2;2;0;0;0;3;15;0;4;4;2;2;3;10;0;4;2;1;2;1;7;6;1;7;6;1;8;3;2;1;0;1;0;1;6;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;3;0;460;0;6;2;8;15;3;3;2;0;0;0;0;16;15;8;7;7;0;1;1;1;2;3;1;0;0;0;0;0;8;0;0;6;2;0;0;0;0;10;0;0;8;0
17;Basilicata;76;Potenza;1;Abriola;76001;760010000020;20;0;40001;;46;22;24;24;22;0;0;0;10;12;0;0;0;3;3;5;3;3;2;7;4;3;6;0;2;1;2;0;2;2;0;1;2;0;1;4;2;1;5;0;0;1;2;0;1;41;2;8;18;10;3;0;20;1;3;11;4;1;0;24;15;6;14;10;3;11;5;2;3;1;2;1;17;9;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;53;0;53;0;1356;1;13;1;15;46;4;1;3;4;3;0;0;98;92;66;26;15;0;51;50;4;4;6;1;1;0;0;0;47;17;0;2;60;4;0;1;1;0;90;3;21;41;1
17;Basilicata;76;Potenza;1;Abriola;76001;760010000021;21;0;40001;;6;3;3;4;2;0;0;0;2;1;0;0;0;0;1;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;6;1;1;1;2;1;0;3;0;1;0;1;1;0;3;3;0;1;1;0;1;1;0;0;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;32;0;32;0;178;0;3;0;3;6;2;0;0;1;0;0;0;44;40;34;6;20;4;10;12;0;2;4;9;4;3;0;0;14;16;0;4;31;2;0;0;0;1;51;4;8;21;1
